3676	3676459875488726170687163109591315801609
2797146647676032847133298550194568977	2797146647676032847133298550194568977275
30817511269898518840871856402603530	3081751126989851884087185640260353055837
tush	tush
3690	3690321031976898112055595369465424704173
469905236	4699052366350233024087218654727629639065
844250569536967707854499	8442505695369677078544996996794686445490
3694	3694150848886750189315699484983893605266
906700980249628	9067009802496281560626258636942322658490
09439960917635456879900281451	0943996091763545687990028145151697437175
2363	2363291236705254214546416296891044298163
cho	chowder
skimmin	skimming
4461779	4461779564375239174292850398702258373406
9916775183768315998212632371238543	9916775183768315998212632371238543573126
0796274613553	0796274613553444251474542365466275225262
102219099906257373383472	1022190999062573733834727264986782444010
expun	expunged
remem	remembrancers
48060404373727718347690147	4806040437372771834769014720664234434374
96705218472127303279707382238605819	9670521847212730327970738223860581986744
enjoined	enjoined
disturbed	disturbed
50972143314925866042485114	5097214331492586604248511405819579711564
rope	ropes
6160296	6160296211357005663834799033404962387594
4518361	4518361856989088721789764694721246807900
9230718624545432220395527352952402459	9230718624545432220395527352952402459038
640975459185695638023637016211	6409754591856956380236370162112047742722
cip	ciphering
509332878567067467738122675283165355	5093328785670674677381226752831653559245
2370	2370087203921208549956968106137918902996
cit	cityless
104719	1047199102756235864534174863172655639132
clevelan	cleveland
633455010228617051789044057041	6334550102286170517890440570419577859833
1036	1036312189912421733955068877864313075002
shrinks	shrinks
root	roots
4002113207421986429173	4002113207421986429173836791762328264446
skyli	skylight
77096168	7709616830579416743105192544863273588851
96919954530095264439844638434659883041	9691995453009526443984463843465988304182
monstro	monstrous
630218760025813	6302187600258139957199236013453742297589
offe	offers
984964651058209392398	9849646510582093923982948879332036250944
47020076618074189140401581485600010301	4702007661807418914040158148560001030119
offa	offals
69336536528805801563903605627227521872	6933653652880580156390360562722752187272
57017823038096567883	5701782303809656788311228930580914057261
2381	2381659872472432252969098533628440799030
357759	3577590825227466863206188376830450921784
offi	officials
70897571503	7089757150333309636515768045019660252155
87380126740538923612230370	8738012674053892361223037077972702519134
83177420214068980703	8317742021406898070341050620023527363226
nippi	nipping
858427872190232598107	8584278721902325981078345939707382251471
poignant	poignantly
2378	2378561126697417713671044248219166714996
1047	1047199102756235864534174863172655639132
15427091430101615150	1542709143010161515013086522842238721618
130254379660094310450015	1302543796600943104500158604854027036789
82379048216	8237904821605621009426507617383808247903
812319	8123196025337336774379706877138147475521
4456548526356617201975630015	4456548526356617201975630015800497902234
425341776459082151367525847977446	4253417764590821513675258479774465114750
workmansh	workmanship
pili	piling
pile	piles
95829602910746	9582960291074690160945128845655007145809
40805476	4080547697058214171286363296501304165012
60121992493917351221453367079135	6012199249391735122145336707913500607486
007594546281549235506086	0075945462815492355060864815579289619696
1061	1061988591414805799318725367531243470335
00446	0044694903205883829492361391928430524916
01777	0177793977695789208451097926538290562673
2392	2392980098050894915107883711940997503754
discharged	discharged
1058	1058567196636796167140097031535132386972
flashing	flashing
floo	floored
4264818473989215627	4264818473989215627086095650629340405264
524636327416192699904615958957939406	5246363274161926999046159589579394062298
pila	pilate
flow	flows
37736	3773682405109025837593451700153405222661
order	orders
reminds	reminds
beleague	beleaguer
0547854954620263256676813262	0547854954620263256676813262435925020249
42142561071896846626	4214256107189684662633587441497697392156
clo	cloying
3762363048580427744179071	3762363048580427744179071691463565462012
525714	5257149045432792519079400711150478537803
floc	flocks
cls	clsi
0850390101739924877352408881040	0850390101739924877352408881040807749924
reitera	reiterating
88650057478025197760744	8865005747802519776074426607983002915730
1072	1072224659040085537982352538851716235182
flog	floggings
581999652392754	5819996523927548842743541440288453645559
174189688354813164399743776	1741896883548131643997437764158365242234
27848361521406689726610271237157795	2784836152140668972661027123715779503062
ensue	ensued
656290	6562903551178399440709617725671649197901
975385779583727977029	9753857795837279770297223143519995849952
3210866604791259893835192669	3210866604791259893835192669449755356809
ensui	ensuing
coach	coaching
women	womenfolks
160909671920072376588942261	1609096719200723765889422618655048755261
582526239	5825262395941896730036408086242336576209
pink	pinky
woman	womanness
6334550102286170517890440570419577859833	6334550102286170517890440570419577859833
ping	ping
05955471122443903196	0595547112244390319647664276103816428591
0107314	0107314706531542013005838104589050067645
1087	1087
0153084180417	0153084180417376989637590025469994541316
folk_music	folk_music
063394232176257007632	0633942321762570076323139159349709946933
honesty	honesty
19479352	1947935274564429846308888463853810686217
pinc	pinching
65340097	6534009706581694636096660911110968789751
interconnec	interconnections
cni	cni
367109	3671090592361551138604472463787212446125
rota	rotating
5618738578364475844842355	5618738578364475844842355558105002561149
975771508108494435082854587499129	9757715081084944350828545874991294385756
1090	1090431831637960464315231844346697999048
85313861018672921889	8531386101867292188934703934207224555679
25739	2573965950289645637766038988037941517917
221281041904480472479492913422849519700	2212810419044804724794929134228495197002
8851750122504754778999508544083983	8851750122504754778999508544083983800725
20747955408091149186620868718	2074795540809114918662086871848995504452
83188085436732780687977165911165422	8318808543673278068797716591116542244538
14331943476403572	1433194347640357253769143888996830882628
1036312	1036312189912421733955068877864313075002
yourselve	yourselves
cob	cobwebs
2182309492	2182309492703218343678206382655341157162
cof	coffin
ecsta	ecstatic
thousand	thousandth
illuminatin	illuminating
78121824014129936859046514	7812182401412993685904651465192091986053
con	convulsive
718577701418	7185777014180606443636815464440053316087
cor	corse
defeate	defeated
330452795466	3304527954661855096666185664709711344474
14680001	1468000151211434422560238744743252507693
96069	9606978693335973109537126499416282656463
cov	covey
239151889309946342	2391518893099463428413936080383091662818
231040432425267859555620773105430	2310404324252678595556207731054307229803
6314151759	6314151759089289869561975611230253108750
expla	explanatory
appro	approximately
mussulm	mussulman
ordin	ordinary
4676514566899	4676514566899762798960629592511976367290
28209895454562763443535757	2820989545456276344353575741673638980108
worthwhil	worthwhile
deificati	deification
pipe	pipes
expli	explicitness
40361297	4036129729992912630842812149152469877429
ceasing	ceasing
roun	rounds
9395002945834116482411496975832601180	9395002945834116482411496975832601180073
cps	cpsr
392101	3921015193235101390117789997483527186469
1655144286432049552568385430792542999	1655144286432049552568385430792542999093
3671090592361551138604472463787212	3671090592361551138604472463787212446125
764164	7641649835663127518728182948655658524206
yesternigh	yesternight
6880272205233860037284290315582845	6880272205233860037284290315582845459385
351804147432053600369	3518041474320536003692341790354407357030
044596	0445962632793463772115102854547231288003
expir	expiring
513782	5137821434533665059832834744353629031239
ncli	nclis
425341701098843585318933917593451	4253417010988435853189339175934511574023
464852363324759102670562466350802553058	4648523633247591026705624663508025530581
explanator	explanatory
cataclys	cataclysm
958296029107469016	9582960291074690160945128845655007145809
cloudle	cloudless
2219749124257510162187439772	2219749124257510162187439772902147704638
701504495496412454361656210150919997	7015044954964124543616562101509199978629
267234327186809962504543	2672343271868099625045432475688702055341
726603161752758291	7266031617527582917398395852606454113318
2488594873	2488594873689907351216611839787734271587
0681363781529646159	0681363781529646159632606987449611053683
379077502660201148149354	3790775026602011481493548222891666364078
times	times
cra	crazy
executio	executioners
vacillating	vacillating
1224268139	1224268139228721340616948820295068316545
4132037622	4132037622586245822478469666978594791498
cre	crews
66369375035368	6636937503536869945455039287444994032832
cri	critics
41765066362169059280	4176506636216905928021516429198484077446
71494233438678767058	7149423343867876705824452296605797007134
355806178566	3558061785668075849108018580569556799018
phraseolog	phraseology
776121	7761219812979540401506539853415790536291
41105228454658356793629696192	4110522845465835679362969619219080897536
370794	3707943800566633648843650891448055710397
65182654563438285115	6518265456343828511591376315695198952302
flue	fluently
bachelor	bachelor
cru	crutches
95839947080954	9583994708095478886350328112962689923111
0998361	0998361649647757146385732473332266538945
cry	crystals
mcgowan	mcgowan
19474570235829548136578180	1947457023582954813657818098679440202202
501792	5017924552067329003818814068686247959272
1601748519818854608600365	1601748519818854608600365976067432333464
223055502	2230555021722229970620974926860976278740
55725088147792231519747780605696725	5572508814779223151974778060569672538017
141712	1417121034460842716166190012571958707932
37281998690213116	3728199869021311629886680267446443489233
7110220353727166112304857340460879272501	7110220353727166112304857340460879272501
strun	strung
05400703561310260405145079325925798	0540070356131026040514507932592579822740
12395	1239578260248978371473556820782675452142
japan	japan
fullness	fullness
4908652374428416527766114253515386	4908652374428416527766114253515386651627
6140375378595945063632270951224892419	6140375378595945063632270951224892419318
04821333755258457105661958693203156329	0482133375525845710566195869320315632994
pity	pityingly
052784669279984003137878996525635126	0527846692799840031378789965256351268853
8257618964374	8257618964374464656819789319422077536824
225924	2259244561520365608268890193913957991844
12442841762562301395386699	1244284176256230139538669970308943645907
3433797893158	3433797893158203941287898972897329881255
eventual	eventually
09439960917635456	0943996091763545687990028145151697437175
24374	2437478902689351739040432948516106597858
178310685015629913555987	1783106850156299135559874758848151014815
piti	pitilessly
28680813	2868081324793106686855857401668022408227
4662329621625672647390	4662329621625672647390158186929567656014
pite	piteously
7104569019	7104569019191359062304102336798080907240
6873123710180229	6873123710180229775301190684280440780938
2344049394	2344049394502115428867244188717409524554
invidio	invidious
60488457701776	6048845770177621831846155679784275410884
genes	genesis
61331	6133138458300075204493382656029760673711
nestling	nestlings
28746661988915	2874666198891534664244887911940711423940
synagogue	synagogues
23058	2305860332060641949298931012423081105800
482605404361871836330268992	4826054043618718363302689928586235821456
915218219624653	9152182196246535755705642282203995466826
79575420019599191924070761582300232897	7957542001959919192407076158230023289774
pist	pistols
60008	6000837197352638383899678918460032707368
184159734610382401178556739080566483	1841597346103824011785567390805664833210
cud	cudgels
15659808169	1565980816946116793744256632446567996063
236329123670525421454641629689104	2363291236705254214546416296891044298163
6325139266942494856923209045	6325139266942494856923209045968977756767
directo	directory
45756330336556777374	4575633033655677737480864410996914182777
22741862907707	2274186290770795088093362153463038429675
66348383589670340911	6634838358967034091155130878201387234947
cul	culturists
653483012849067784503749089174934738901	6534830128490677845037490891749347389015
75969	7596948538057364208384918887095176052287
cup	cups
2282766643092649005922498102	2282766643092649005922498102910687594345
technologica	technological
48329	4832982299616721708015680108079977712651
cut	cutting
1961123571888111507236073031585066	1961123571888111507236073031585066225745
1768901896614540445367	1768901896614540445367904713629423815612
dread	dreading
232374673377147458162553069	2323746733771474581625530698032499033676
21834085988	2183408598820718646826232150802882863597
761520488296909104689167	7615204882969091046891676715553733466225
chemists	chemists
21338968617	2133896861735924509208014653125297779661
9849646510582093923982948879332036250944	9849646510582093923982948879332036250944
thimb	thimbles
449834141919799181799098646315832	4498341419197991817990986463158324602151
1268031418456268722581132040056433413524	1268031418456268722581132040056433413524
4653589318912163976013193079476	4653589318912163976013193079476972058034
think	thinks
013520561510348982187377024	0135205615103489821873770245063583314243
flye	flyer
5711016264847833	5711016264847833741198041625940813327229
73336	7333633425768598836125272025094401943067
48314	4831476678183644656510024467827445695591
flyi	flying
62684	6268422476812003327957705939461318525235
85821217202312741670097403514	8582121720231274167009740351431532131803
6869871772552265257084287457330398597442	6869871772552265257084287457330398597442
3807752318964689404303318	3807752318964689404303318214865563701469
61357	6135749143182591424798293677754904963993
buzzi	buzzing
nonpropr	nonproprietary
24367	2436739840284188639147633491695114032583
638221352138397791	6382213521383977913844332564428849087291
7615755549162366017	7615755549162366017628802206010686555241
729346630551604309237856772292935372084	7293466305516043092378567722929353720841
6456473035037374538503489286113141638	6456473035037374538503489286113141638094
41774056125	4177405612570030362581170483838539120727
75983	7598342205080893512902312247597064410567
temperamen	temperaments
thing	thingumbob
50177725387402564253470879	5017772538740256425347087908913729172282
cwr	cwru
4100758751490829582275691935054218	4100758751490829582275691935054218410644
shapely	shapely
coaxi	coaxing
68403410594	6840341059483417884389631799564688157919
thigh	thigh
76918923890	7691892389063090542534883896831762904120
marring	marring
3812482853076135561496184	3812482853076135561496184443649230142909
99974	9997495267988010745764665383774004374636
73343	7334336638475659094972822180941868407423
domestic	domesticated
0996720131237303297076789887400	0996720131237303297076789887400993173096
090007474065	0900074740659456503153750441779821923063
19294973616594425947175476	1929497361659442594717547651352052450725
forcasters	forcasters
2784457891869421492945154017421462324	2784457891869421492945154017421462324030
shook	shook
entit	entity
95118789674670707337786959256554	9511878967467070733778695925655427133400
4512722373788612605816566805371439612	4512722373788612605816566805371439612788
embowere	embowered
38986	3898695076713447940748097845416328110406
541382655433884877788	5413826554338848777885997206367966069232
9271456354906130310720851038375051011	9271456354906130310720851038375051011574
92782571452488372133946139878597863	9278257145248837213394613987859786320048
946863	9468635333917587374465520060088199752940
07132180533988828139346049850	0713218053398882813934604985053234047259
019316832211136554739228	0193168322111365547392288184271373843690
55464624399535391743228225433267174308	5546462439953539174322822543326717430849
preconceiv	preconceived
joyou	joyous
technologies	technologies
82716864454830	8271686445483065466339752560796159358308
8045704038082077035738758852597604243460	8045704038082077035738758852597604243460
01681	0168159779700664883944824463322109283205
cyl	cyllene
95032240023204536338955215399190110	9503224002320453633895521539919011035217
36313	3631358538902366255728542451601808048716
cyp	cyprian
shopp	shopping
14991	1499197980812095692195622632313741870979
50917084568236820089773	5091708456823682008977394558426792142734
cheerfuln	cheerfulness
481622376790414926742600071	4816223767904149267426000710459226953148
cza	czar
40501384107478	4050138410747889433939966035918539341984
3014207133017999232638198209404299	3014207133017999232638198209404299337779
incommod	incommoded
81884405780028844018129031	8188440578002884401812903137865379486961
53319047439547406640152	5331904743954740664015260871940915743955
5534277461763554	5534277461763554923181745615918566806168
8743270916620098057717103475575	8743270916620098057717103475575333102702
16004691033660241590450463	1600469103366024159045046373335974881199
04821333755258	0482133375525845710566195869320315632994
21288474099	2128847409929537040546962226547278807248
919289	9192897695931576689198730517638869846150
incarnad	incarnadined
708348197214488	7083481972144888987906765037959036696724
unuse	unused
37507984051126658973018149321061	3750798405112665897301814932106195076900
783315131	7833151318675891566830067921021594733685
04895695292801126986	0489569529280112698632533646737179519363
9271456	9271456354906130310720851038375051011574
61647961347790	6164796134779091232799526492904515114830
shorn	shorn
85451123166817353483	8545112316681735348382537248253476367775
unusu	unusually
1620437614116166881281782923823112217458	1620437614116166881281782923823112217458
415211	4152111513683506275260232648472870392076
74082113	7408211307834360326940015926958459588297
70302806519535452053173536808954589	7030280651953545205317353680895458990218
2436739840284	2436739840284188639147633491695114032583
28381694330975012918544596923388733288	2838169433097501291854459692338873328861
040459830089435659542672568797149187	0404598300894356595426725687971491870344
9415531513869887818372	9415531513869887818372322713640117558813
infoser	infoserver
demandi	demanding
600684938040	6006849380408752108541598512780703332077
demande	demanded
pelissie	pelissier
0547854954620263256676	0547854954620263256676813262435925020249
212884740992953704054696222654727880724	2128847409929537040546962226547278807248
043456066966456	0434560669664568997469103739877128915933
7865480871	7865480871476464512824264478216644266616
7833012980192255157	7833012980192255157050378521810552961623
516328000908086198	5163280009080861985543035979484798697894
5085915126581214382337107294914	5085915126581214382337107294914808847235
755961031676965871612819519196688	7559610316769658716128195191966889332664
1777814988861008308778	1777814988861008308778495717098808586670
40327994040168001372934	4032799404016800137293477301530941805070
23980137981043405641824033961624	2398013798104340564182403396162494910454
613313845830007	6133138458300075204493382656029760673711
6689589918153082576	6689589918153082576160659184376050505170
80489669062951194324	8048966906295119432473099587655236812859
skyfo	skyfox
801006794892685536094499	8010067948926855360944990373928383520627
coast	coasts
0883826761845875	0883826761845875636102643518295181539245
serried	serried
961882945291713629409675925076313486366	9618829452917136294096759250763134863660
39210151932	3921015193235101390117789997483527186469
instantaneousl	instantaneously
57272282250812017060713380339641841211	5727228225081201706071338033964184121125
8976226554849416217	8976226554849416217149895323834216001140
86673572604086951113664988122	8667357260408695111366498812299578016188
inherita	inheritance
4242093	4242093231358724816618683821026679970982
10396558733549803850	1039655873354980385099514346350617536148
unvar	unvarying
inheriti	inheriting
79535934403	7953593440354945217396032709540771210733
inherite	inherited
2415362143031999656956107535704172072	2415362143031999656956107535704172072853
311730123819706841614039701983767932068	3117301238197068416140397019837679320683
1120187	1120187618531256710150212239401285668608
0841907975296782	0841907975296782445969183509474202123617
75215668571950637193656539	7521566857195063719365653903894493664217
candida	candidates
guardin	guarding
35080	3508048633935552384057355808637187635302
58888151520837482450034463046505	5888815152083748245003446304650598456969
518439253967092241256593	5184392539670922412565933079102365485294
10121244340928131	1012124434092813146597602213604162230311
30709956622662030	3070995662266203031826493657336984195557
5014345	5014345588970719425863987727547109629537
24281917	2428191747958661999444111962087304980643
019644	0196442965370643088660925268811549596291
unbearabl	unbearable
63061971803395797952	6306197180339579795225395086974325465026
71335447209811784614510778723991406	7133544720981178461451077872399140606290
9039475168	9039475168017709900129391137881248534255
dogmatis	dogmatism
98281606213052313065873151307691383231	9828160621305231306587315130769138323171
40021132074219864291738367917623	4002113207421986429173836791762328264446
96057520531925948476793974864141	9605752053192594847679397486414128879475
fetch	fetching
049383314898033854890946868513	0493833148980338548909468685130789292064
48394	4839404675057083479279483381332762379378
commiserat	commiserate
1340512737557039180682234	1340512737557039180682234471816793932912
958958288190749004033159343607	9589582881907490040331593436076189609669
447090791040997	4470907910409978597465611245985197215755
ineradica	ineradicably
875513802710137986875129937513330384	8755138027101379868751299375133303843885
9423049400384406226144495725166	9423049400384406226144495725166310170806
possession	possessions
078955916549813	0789559165498130372929444623063712843579
4424371075390777449920695517027618386	4424371075390777449920695517027618386062
7441093521532790681603205421596	7441093521532790681603205421596795906641
78860399015	7886039901574952080654434094624466346532
dag	daggers
4152027721127070187421548123	4152027721127070187421548123931953220997
dak	dakota
7598342205080893512902	7598342205080893512902312247597064410567
3717	3717465670504744152802771254156940136586
595305137	5953051376938375381543486981101990651706
shows	shows
outlined	outlined
das	dasn
2010040811760123270513163743	2010040811760123270513163743154487571768
pointing	pointing
agricultu	agriculture
578061101552210224486633247184367035	5780611015522102244866332471843670355023
daw	dawned
3831659166268310306519473023341938416	3831659166268310306519473023341938416407
4719016196335467707140905908	4719016196335467707140905908269542251964
83615313837514324930563983818	8361531383751432493056398381877995594942
962574244254205467	9625742442542054678576747819095948650057
6040408	6040408483796190725421658694094866820923
unperceive	unperceived
dbl	dblook
3728	3728199869021311629886680267446443489233
28069777204373637178734579484202	2806977720437363717873457948420238745151
160011716033860471071001523563115973471	1600117160338604710710015235631159734711
babblement	babblement
52408285012019083107867806706185	5240828501201908310786780670618511457409
311926231179142	3119262311791427949448972814772640383210
3724	3724366671129644602929157461811177891696
272308	2723080969468398938676366226456791132977
inexpressi	inexpressible
58957527352141244514954246	5895752735214124451495424629722585101207
9174337	9174337193208062873130358964057087377996
businesslik	businesslike
8707777519329994213	8707777519329994213727721125884360871583
judiciary	judiciary
shipwre	shipwreck
coars	coarsest
inducement	inducements
7578437917	7578437917900480884802302930439263092134
761575554916236601762	7615755549162366017628802206010686555241
4136923	4136923022931397511437024048302273576290
disparagemen	disparagement
equitable	equitable
2400	2400
779295282467954373022634724953	7792952824679543730226347249535946630023
6611104276719364	6611104276719364818363605341087489710668
481278485100	4812784851004144784541646456849660669913
23065	2306516267974471185795150657386850408822
647133049543555044790277	6471330495435550447902771286900956433579
5150251919455	5150251919455969123143757999113830165611
dated	dated
72646852648691729	7264685264869172948414153004604004299585
interdic	interdict
586753	5867536575448614076119311259585126557597
7894560706151210826614609866204042501	7894560706151210826614609866204042501058
introduction	introductions
3994333377311469119707378	3994333377311469119707378610419639864221
3735	3735744708366215377470972660188656210681
6880272205233	6880272205233860037284290315582845459385
74627	7462776975961248887944860986334942285284
78211466689996	7821146668999684522704295458971092216365
performan	performances
revenge	revengeful
thirs	thirsty
97603470884404	9760347088440464730831726826112777236133
90230668930641789778081581013604	9023066893064178977808158101360449495409
thesaurus	thesaurus
96188294529171362940967592	9618829452917136294096759250763134863660
apostroph	apostrophizing
983997449720472878818312	9839974497204728788183120023338329803056
979919361853380201	9799193618533802014070724816273043134189
2415	2415362143031999656956107535704172072853
32389539404603532539675835439	3238953940460353253967583543953505167202
2411	2411653980646785444273124462179491306502
_that	_that_
3742	3742054978566598954690899385589184410856
cheerless	cheerless
867572975189214295652512486943983729	8675729751892142956525124869439837290474
dec	decwrl
28069777204373637178734579	2806977720437363717873457948420238745151
3760	3760181694031056909587141386804846359853
deg	degrees
instigate	instigated
44709079	4470907910409978597465611245985197215755
7030280651953545205317353	7030280651953545205317353680895458990218
sires	sires
8738012674053892361223037077972702519	8738012674053892361223037077972702519134
stren	strenuously
0363893	0363893131364327137688841026811219891275
8624279864	8624279864114379284356205759555001443080
criss	crisscrossing
des	destructiveness
footp	footprints
contradictions	contradictions
91615514777630187	9161551477763018763021360688252962744602
dew	dewy
354473196308440066835155160913925	3544731963084400668351551609139256929121
6843555962059805727895	6843555962059805727895175449869421932697
scanner	scanners
3785326601858425689	3785326601858425689141091944645661626677
instigati	instigation
going	going
thoroughl	thoroughly
3771	3771705474725026941732982890400239372879
shock	shocks
16322617	1632261765485737667194313284005062629514
spearheads	spearheads
661110427671936	6611104276719364818363605341087489710668
07948803314109924990	0794880331410992499071132416945042413912
1106	1106
4925542179398272327935	4925542179398272327935709582874859712678
2437	2437478902689351739040432948516106597858
787093765	7870937650226014929101151717763594460202
069069475334316778026322072262658818	0690694753343167780263220722626588184275
2433	2433
9513368567136255318405463847519164673	9513368567136255318405463847519164673794
814276391051923468508	8142763910519234685081979001796519907050
attitude	attitudes
398550540704454189088472042376	3985505407044541890884720423764997490350
2673299758538	2673299758538185364423706173535176530603
07684955832881902935642012196336848540	0768495583288190293564201219633684854080
3782	3782829712054469318226040167030853091165
virtues	virtues
537634	5376345210503709954529420552320788174493
sentenc	sentences
1120	1120187618531256710150212239401285668608
8654291655853168697537052760701061488	8654291655853168697537052760701061488025
nondesc	nondescript
4772148212815760727530517333096345590932	4772148212815760727530517333096345590932
016815977	0168159779700664883944824463322109283205
104655438916	1046554389165150954187306071015034430609
651826545634382851159137	6518265456343828511591376315695198952302
350804863393555238405735580863718	3508048633935552384057355808637187635302
00501	0050195045201350200180281506933241918267
shipyar	shipyard
87437435578196651171	8743743557819665117166183308811291202452
ferve	fervently
0814488732957847348490003019	0814488732957847348490003019477888020460
99501610912720	9950161091272081791353240678426716179201
086308158185862815883054564662297	0863081581858628158830545646622976948039
palat	palate
085039010173992487735240888104080774	0850390101739924877352408881040807749924
22515596470406129	2251559647040612970477598185518784414199
693447312997	6934473129971189346354502994681747128179
volcano	volcano
mccaf	mccaffrey
32129077723748506635489	3212907772374850663548917089285076023435
693196	6931962642014042788365702610390456105151
3793	3793990752166069238053369887956513728559
shoem	shoemaking
6533637531929596	6533637531929596772608085345765227471404
20100408117	2010040811760123270513163743154487571768
footh	foothold
1128	1128936773524995818201177479978863639328
783143174440811949422975599314011	7831431744408119494229755993140118886833
1124	1124982614345594089618135092268576114746
2455	2455165080886442121211391435245393522552
508591512658121438233710729491	5085915126581214382337107294914808847235
9645895956779558869098404768259253	9645895956779558869098404768259253477849
0386506	0386506786693396236535556479102508529284
10017724	1001772437840167723166802004162547244179
1847628306340588324731228951	1847628306340588324731228951257944267639
dic	dictionary
883219897675132053511523054566	8832198976751320535115230545666467143795
01698420558040336379537645203	0169842055804033637953764520304024322566
8594250385840436599328165194	8594250385840436599328165194149737728672
innocen	innocently
dig	digressing
happiest	happiest
99974952679880107457646653	9997495267988010745764665383774004374636
exord	exordium
_surfin	_surfing
dio	dionysus
seasona	seasonable
745705694487	7457056944878307794587886506297089549984
dis	disused
192900074520989595920115	1929000745209895959201159412324102274845
0837147204067428996276720315410211504	0837147204067428996276720315410211504333
