525714904543	5257149045432792519079400711150478537803
898281725690484184326061946254276693688	8982817256904841843260619462542766936889
897911583	8979115837093419370441155121920117164880
2038322781246413671297959415	2038322781246413671297959415082918378213
797510859911398076844732639426419452063	7975108599113980768447326394264194520631
43817760810077391833937	4381776081007739183393749346933644748150
353093712352439691	3530937123524396914966231011032824357006
26465913203560121875933	2646591320356012187593379163966643728283
545504847110787429054998706003739	5455048471107874290549987060037398311376
8156159561093181518370113510479017638	8156159561093181518370113510479017638359
681986701778616726719723741569	6819867017786167267197237415691788000169
84085	8408570397815199814882239005994891194647
78568141143802152387670645506	7856814114380215238767064550632330672339
0386506786693	0386506786693396236535556479102508529284
614492247	6144922475124889575348359262262635454067
64923094121	6492309412151445639478899993271458759695
drooped	drooped
inexperie	inexperienced
01729	0172939073033508690209225191244473932783
99466665203753	9946666520375302719237642525529103479503
94740939258407362058	9474093925840736205824284934902475688335
seducti	seductive
96057	9605752053192594847679397486414128879475
96053	9605314460532304885289729176598760166678
7841301764553247527	7841301764553247527073788764069366420012
2659339124878856395	2659339124878856395046441960224751860114
852059726385922	8520597263859224934763623122188113706307
gour	gourd
reminis	reminiscence
1733770381546752976455965184926	1733770381546752976455965184926760393001
remna	remnants
chicken	chickens
pugil	pugilist
0712134539837113575009758544059395586617	0712134539837113575009758544059395586617
245771161505550519	2457711615055505190762762500165221662747
foreigne	foreigners
pampe	pampered
583147416234528	5831474162345284018894080898312519130774
266727497877304702161650197119	2667274978773047021616501971193744250562
executin	executing
9205870515074254852744810154	9205870515074254852744810154541079359513
08630815	0863081581858628158830545646622976948039
personificatio	personification
831879619843	8318796198437654958778036852617518353918
flut	fluttered
500475	5004758526029792930615991344489834197358
fourpence	fourpence
executiv	executive
640031215278702223664636357	6400312152787022236646363575550356557694
242819174795866199944411196	2428191747958661999444111962087304980643
380129	3801296864037978355355907135570836994731
immured	immured
5547465540	5547465540000517662402028259448288338118
24909336069	2490933606999809477625379297359703775906
350366041699732972508868	3503660416997329725088687696640355570716
594569685782817020325495552528	5945696857828170203254955525288754644660
2411653980646785444273	2411653980646785444273124462179491306502
144395418253441269003331	1443954182534412690033311819142680707351
rows	rows
95380996810721430123946935309315240540	9538099681072143012394693530931524054081
438796952102352666733724344230915	4387969521023526667337243442309157718327
1442641660181385990017417408244245	1442641660181385990017417408244245378610
01743	0174340613952200724036588127982491432617
766649106862	7666491068620333787138260589876552104236
60002742	6000274250272245157090630449636923093838
863817495942848920135200909510078649418	8638174959428489201352009095100786494186
241536214303199965695	2415362143031999656956107535704172072853
76156321810842898	7615632181084289820770697413870705326611
95047405652104100226898785852547068	9504740565210410022689878585254706890316
naturalizat	naturalization
091988591255634113084945706	0919885912556341130849457067599032002751
1257467939781491	1257467939781491953642874321122421579851
4899850763	4899850763163066805026711594463629352512
37690	3769089325589145981417248526582995108822
paltr	paltry
16609988364791	1660998836479175633176725856523591069520
09266213229273649718653952866567538572	0926621322927364971865395286656753857211
709957407786	7099574077867893493119752042379250228513
925977628178182825372022920108186449	9259776281781828253720229201081864494483
gende	gendered
_this	_this_
burgher	burghers
pitt	pitted
crocodi	crocodiles
4264818473989	4264818473989215627086095650629340405264
6375236479626857516600665393641422	6375236479626857516600665393641422730630
41193266075165452741	4119326607516545274182945954118927726419
781218240141299	7812182401412993685904651465192091986053
35036	3503660416997329725088687696640355570716
322889953285828397	3228899532858283977621846009676692675812
49255421793982723279357	4925542179398272327935709582874859712678
1535633471775664	1535633471775664392125733993165330324425
73489151896500274423289	7348915189650027442328981181709248273610
75875198368615261640872525948201269919	7587519836861526164087252594820126991923
361579518379370267414514009028330644662	3615795183793702674145140090283306446620
4640800104202	4640800104202100410766027807729152555503
0386506786693396236535556479	0386506786693396236535556479102508529284
570946771318221132	5709467713182211320550504657970186933776
ctr	ctrl
583552520157523928082646255	5835525201575239280826462555785658190226
03468415744312773981	0346841574431277398110441867620329544754
linguis	linguistics
gener	generous
dissecting	dissecting
babylonian	babylonian
99972217038046170928945790962716622	9997221703804617092894579096271662260740
repleni	replenished
roya	royalty
cuc	cucumbers
141692	1416928368190255151086574637721112523897
891087016427016901400782574831	8910870164270169014007825748311598976330
6675274086	6675274086862740791285657699631378975303
2424836137964	2424836137964756924820763213564273572616
813586711735236496412105885	8135867117352364964121058854934496645898
0763432091319780	0763432091319780314031658897379628301178
creating	creating
directr	directry
391575424192966	3915754241929660731239376354213923061787
shots	shots
cus	customs
chesapeak	chesapeake
047670338664100252772768008863832	0476703386641002527727680088638326662948
37672	3767274502716389752341114262878287367583
joyle	joyless
827168644548	8271686445483065466339752560796159358308
925046195013665854	9250461950136658543663271254963990854914
67750085960128475289259	6775008596012847528925946334831240876674
91892926465588805936	9189292646558880593601275151838235485893
1912909570	1912909570798666994537650804079178524382
964589595677955886909840476825925347	9645895956779558869098404768259253477849
2370087203921208549956968106137918	2370087203921208549956968106137918902996
388349989470741618155012	3883499894707416181550125397064648171946
chemistr	chemistry
209923628292261254323607122627	2099236282922612543236071226270324572637
shoul	shouldst
7906519612917	7906519612917777354183694676232982904981
36955619347638598187756855912376232580	3695561934763859818775685591237623258084
7675985442715277884438	7675985442715277884438367601499128973582
442858	4428584870694307099756567949198418996425
shout	shouts
836228970995989834054849622842893	8362289709959898340548496228428939846984
39148548792514028885025189788076023	3914854879251402888502518978807602383899
297485616780079779959696843	2974856167800797799596968433677303524830
463223702071533134887083174146	4632237020715331348870831741465914924063
gregariou	gregariousness
401008430380631442183	4010084303806314421837767503498134081693
socio	sociology
thinn	thinner
32524294135348699384658137175	3252429413534869938465813717585761433095
shove	shovelful
760173385884376314414811356169303046842	7601733858843763144148113561693030468420
015849468	0158494684022434416393831361874227541771
cwi	cwiss
203753189972618014404667793050140301580	2037531899726180144046677930501403015807
diskpac	diskpack
825600927397766758564259837858749	8256009273977667585642598378587497776669
488298439195464337	4882984391954643375335578789506401899868
997245530131707617121	9972455301317076171216318660029146450137
00501950452013502001	0050195045201350200180281506933241918267
66101143340	6610114334042144736834536384965447010678
definit	definitive
003735625279449515	0037356252794495158284188294787610852639
10616155	1061615543708329950285490365961736272655
392056	3920561895421631986004793961133953226395
403279	4032799404016800137293477301530941805070
entic	enticing
5753422310054715341281	5753422310054715341281095702487081265431
73342	7334207198502259771408638122015980894363
6502281032776211	6502281032776211584228243326952862913766
916722273	9167222737184303852631072660000473678724
01699	0169901664189038843548375648056012628830
2097760735632832966564135817028088	2097760735632832966564135817028088013546
initiate	initiated
matrimon	matrimony
initiati	initiative
deception	deceptions
3830943399938338801883955382	3830943399938338801883955382154037144739
picni	picnic
849589	8495893806420288666795194348275016819202
711809238	7118092384406563531361826769237616133892
379077502660201148149354822289166636	3790775026602011481493548222891666364078
13643356413242974208137266896149	1364335641324297420813726689614910956421
9817530946230	9817530946230476048323993793910021425329
clatter	clattering
73357	7335779495554986552141933981702686399873
93346685610837898088303135	9334668561083789808830313571333157729435
cyc	cyclone
5216436594262960768570585	5216436594262960768570585698507157151317
shopk	shopkeepers
899852	8998525989667247441265036084164841607244
641277739531130	6412777395311302041566848265531411348993
shops	shops
486140131538593	4861401315385932206074518590960888428021
9580591237612512030	9580591237612512030109838678411957258877
1004309023571363689261949376360267	1004309023571363689261949376360267364587
392030	3920305576358989492412827022489373848906
95829602	9582960291074690160945128845655007145809
57272282250812017	5727228225081201706071338033964184121125
85840536446021616	8584053644602161651788556896930268518895
necta	nectarines
0882773391472820637945	0882773391472820637945122602945157073671
6042207963944666211632	6042207963944666211632551577290709784731
95181380	9518138014471681728499679306181417713191
196869893461117716056191068122601	1968698934611177160561910681226015874410
95906254446474331759999685163660305	9590625444647433175999968516366030521642
indefinite	indefinitely
disaster	disasters
84085703978151998148822390059	8408570397815199814882239005994891194647
4135679	4135679554246646013356636173058117116460
7559610316769	7559610316769658716128195191966889332664
972317817154372192103	9723178171543721921039466384737156302267
060640775	0606407754779439671383653877377610828300
662235628745913851859	6622356287459138518590441625066322224956
742246151140601576011591	7422461511406015760115910256449002264980
offerings	offerings
9884514	9884514141469311719314272028007223449941
afterthoug	afterthoughts
674653702874660625843463297083037259	6746537028746606258434632970830372598049
5234302680814869781	5234302680814869781648243493534568558436
shore	shorewater
libraries	libraries
435548529	4355485293237716141086959195078687327607
224647	2246478161553353227545326454308709332092
863368869446655641126622	8633688694466556411266228792181211412142
enthr	enthroned
5928418	5928418041510055519914656493487279696935
37625	3762552587574553031129919143411094130882
9933790487	9933790487113395588485234240255002352200
50602819024521	5060281902452191177018634505171087023903
4833838	4833838054369880310983922140260514297591
3020994152	3020994152152288611175126686173051956249
00501950452013502001802	0050195045201350200180281506933241918267
encircle	encircled
885310067289470330795408045833241	8853100672894703307954080458332419218848
4292334	4292334517042242667960707540402855118239
encircli	encircling
glanc	glancest
275631072233467261137054	2756310722334672611370549079536583453863
66366740720668999061320627793994112805	6636674072066899906132062779399411280575
confessing	confessing
1325834287152408356615221655749984312	1325834287152408356615221655749984312362
3475499431740580563099143218212	3475499431740580563099143218212547336281
367109059236155113860	3671090592361551138604472463787212446125
07790516822585	0779051682258572357326652344149561690079
savings	savings
15704462723177778864980670072	1570446272317777886498067007235988895287
relyi	relying
084655898982349219315205257478363855	0846558989823492193152052574783638552662
sessions	sessions
9259776	9259776281781828253720229201081864494483
obvio	obviously
mannheim	mannheim
6186797172560815	6186797172560815532871643611147487510703
4498341419197991817	4498341419197991817990986463158324602151
dates	dates
1259293668	1259293668405913700595269149344218618917
62036978497345990200460688657	6203697849734599020046068865727018658677
014711747846483924122567652359341855	0147117478464839241225676523593418554066
45857482	4585748228606859593502657405750939203135
3901139433166815158288	3901139433166815158288436876069611025051
thith	thither
79419731922209602965	7941973192220960296582500937408249714373
2521388551265	2521388551265830376304774906259955149259
50602	5060281902452191177018634505171087023903
2870912311383472485146035661382188014	2870912311383472485146035661382188014840
27678818067628650978	2767881806762865097808571826211700314000
971851	9718514623865421671429236191647402172547
971859	9718597689704275904150094659525276348762
0425791378948827579603278	0425791378948827579603278877535466861441
benefactor	benefactors
46839654358	4683965435885668550377313129658797581050
640975459185695638023637016211204774272	6409754591856956380236370162112047742722
028752986	0287529864161287496473708235188892189612
70631739561244841374578273437	7063173956124484137457827343763301018534
65412344	6541234460723597174777907172041523181575
hazards	hazards
598793	5987931636889230098793127736178215424999
264659132035601218759	2646591320356012187593379163966643728283
26754819935	2675481993546118143913367579700141255870
roist	roisterer
28381694330	2838169433097501291854459692338873328861
3391673583102	3391673583102728579723061998175868700492
020630	0206304488060645748927405477306939713370
gracious	gracious
1372814166842701309605073457865	1372814166842701309605073457865904790424
australi	australian
5253633041069203370469109309	5253633041069203370469109309758878293829
241401907546816077709779	2414019075468160777097792057938389537819
340575475701704	3405754757017043670395964677159592610294
778698417	7786984177356031181116775638725899115168
35036604169973297250886876966	3503660416997329725088687696640355570716
precarious	precarious
380129686403797835535590713557083699473	3801296864037978355355907135570836994731
hazardo	hazardous
63927	6392767687720145153302241853125308442727
incisiv	incisive
262928	2629289600725876015648405560886131654118
3709	3709
foresters	foresters
98528063	9852806380129834255379486287824758850820
instigatio	instigation
57814876772991	5781487677299160941153954063362752423712
813462854	8134628546189728615020774374529539536929
8199775133	8199775133263932215794782124933070511073
outlines	outlines
776256786276946994728060609429031491	7762567862769469947280606094290314917493
91468701597358685890152970	9146870159735868589015297010347780503292
dab	dabbled
0832028056991704259010	0832028056991704259010387692865833655772
449204881986297863297431369485117805792	4492048819862978632974313694851178057929
2327269503283827391243828198	2327269503283827391243828198170871168108
schoolfel	schoolfellow
332421	3324210300218460588586954418502977463085
misapprehensio	misapprehension
468396543588566855037731312	4683965435885668550377313129658797581050
7826785387215920936255817889813	7826785387215920936255817889813416247486
dan	danvers
1061344	1061344455441921013361729962856948991933
268831328947055389135729070	2688313289470553891357290706967599556298
runaway	runaways
070129260780197	0701292607801970225896629233681543124994
62746102488277064888650377651756788	6274610248827706488865037765175678806872
dar	darty
shown	shown
magazin	magazines
dav	davis
798673920803845633723311983855862638008	7986739208038456337233119838558626380085
99348044455498505978232978986170294	9934804445549850597823297898617029498418
7828710664940156467014194371	7828710664940156467014194371382386345472
majesty	majesty
_the_	_the_king
daz	dazzling
104655438916515095418730607101503	1046554389165150954187306071015034430609
unexample	unexampled
9280549839169261068975151083963	9280549839169261068975151083963132117128
427683655826706766313911972211811528	4276836558267067663139119722118115284665
datas	dataspace
guardia	guardians
socke	sockets
39073867083298	3907386708329869107809349582888870711065
cutba	cutbacks
419428906113497996103467207735495959386	4194289061134979961034672077354959593868
175837688	1758376884367860814463196419125665740477
74842441076564447767	7484244107656444776709779039232495841634
899852598966724744126503608416484160	8998525989667247441265036084164841607244
10121244340928131465	1012124434092813146597602213604162230311
33045279546618	3304527954661855096666185664709711344474
7030280651953545	7030280651953545205317353680895458990218
34558561314020776599614	3455856131402077659961425464632886773568
deceptive	deceptive
632513926694249	6325139266942494856923209045968977756767
7492133166316281245638823828871564844	7492133166316281245638823828871564844788
7904159804	7904159804399212488984866079504501170116
09087678823000643	0908767882300064337725657385010969899058
brimming	brimming
27027921095935430555797326	2702792109593543055579732660554677963552
9583763453426634209462	9583763453426634209462144266724539871710
35861482528200173	3586148252820017348957533954255019475442
3623146700931176	3623146700931176133132018631158730886798
signatur	signature
0976904	0976904563415765733955495884489480936040
7375227693199222635973	7375227693199222635973520722998387368484
63061971803395797952253950869	6306197180339579795225395086974325465026
623883522	6238835221520814478940626889936085239827
03949840335809130	0394984033580913091401978778436501679601
dde	ddern
26292896007	2629289600725876015648405560886131654118
99900	9990039649482454575207049220916206142229
noticing	noticing
456433211043194821421299793188104636399	4564332110431948214212997931881046363995
chauffeur	chauffeur
35043	3504315139606691325837903374862083669547
avaun	avaunt
1664061708131602078	1664061708131602078213341260356852013161
77041718986106873969	7704171898610687396965521267154688957035
24169076	2416907694316685742425225090269390348148
2414	2414019075468160777097792057938389537819
2410	2410139087791616512268044148097656189797
767598544271527788443836760	7675985442715277884438367601499128973582
4982076074	4982076074782702588614099760507880367067
3457301533364263076	3457301533364263076798544338576171533346
723076033754423468716472237	7230760337544234687164722379550779413030
deb	debts
67336701061509424345698440187	6733670106150942434569844018733128101079
975771508108494	9757715081084944350828545874991294385756
2838441522579419764824996318	2838441522579419764824996318479414814660
def	defy
contracted	contracted
144264166018138599001	1442641660181385990017417408244245378610
strea	streams
dej	dejection
604220796394466621163	6042207963944666211632551577290709784731
den	denying
parliament	parliament
687923125104608097738955654889628150895	6879231251046080977389556548896281508951
viewing	viewing
der	dervishes
9972455301317076171216318660029146450137	9972455301317076171216318660029146450137
285331794353	2853317943535073401891193638546730000660
presidenti	presidential
foots	footsteps
dev	devout
77169584	7716958419563109577748529579836844756803
33311083171180723404432681373	3331108317118072340443268137372312096690
040459830	0404598300894356595426725687971491870344
footw	footways
taugh	taught
stree	streets
38497450236265733191742446567	3849745023626573319174244656778749966500
744109352	7441093521532790681603205421596795906641
whipper	whippers
2276657552106636718796032175	2276657552106636718796032175271844046515
95032240023204536338955215	9503224002320453633895521539919011035217
23291750764696840	2329175076469684003556425503797106891999
pocketkn	pocketknife
05982676094420326192428	0598267609442032619242853170187817729602
136258941809788015677378951310313	1362589418097880156773789513103131573611
275819665639411489617168329804551397295	2758196656394114896171683298045513972950
2436	2436739840284188639147633491695114032583
76974774451947	7697477445194704383673960007657862824547
1772522568261147801424289697096	1772522568261147801424289697096712196750
69344731	6934473129971189346354502994681747128179
3767	3767274502716389752341114262878287367583
431053074789010430	4310530747890104300987658081650814486260
9928201815764270	9928201815764270549629974019008374934449
3381868879	3381868879778588172919766045163533535560
compare	compared
367109059236155113	3671090592361551138604472463787212446125
arvei	arveiron
compara	comparatively
technologist	technologists
2789834328957	2789834328957841696889075623746728104480
2450	2450166815341213505278578539332606110249
376908932558914	3769089325589145981417248526582995108822
evinc	evincing
compari	comparisons
639948986836168919377836648327137363654	6399489868361689193778366483271373636546
71922822830451691113	7192282283045169111363652774517975842147
5780031580372555541017846186	5780031580372555541017846186347869064604
nicholso	nicholson
516275607080	5162756070809004364604214970256914885552
exoti	exotic
737046352	7370463520132718259241090604009763858585
3778	3778
disastro	disastrous
367436154108159346496	3674361541081593464960431603544354737728
819546394243166905008398439	8195463942431669050083984398993036790655
surfeited	surfeited
8128905560530091416446608691247256	8128905560530091416446608691247256021455
51464170076989305	5146417007698930562016350219269265316659
276860122655863045691313356097815	2768601226558630456913133560978156776098
1267728125	1267728125939582205242899913716906856504
56518482203125214950700378300	5651848220312521495070037830041121621212
64722049894456290503958737889126805	6472204989445629050395873788912680565516
counterpa	counterpart
316514066229171223429375806143	3165140662291712234293758061439934849143
2454	2454027590719621537570187067083731012246
74551889338518	7455188933851817916675790542104210363493
82911738542735797154157	8291173854273579715415794368949106375974
1600469103366024159045046	1600469103366024159045046373335974881199
3785	3785326601858425689141091944645661626677
349176841191020246627479579564	3491768411910202466274795795643496150126
77612198	7761219812979540401506539853415790536291
dif	diffusing
relea	releasing
5238285842359535	5238285842359535646151854481657999664606
249290016267559708379799564748735453	2492900162675597083797995647487354531686
86336886944665564112662287921812114121	8633688694466556411266228792181211412142
din	dint
leathern	leathern
exorc	exorcised
1141	1141619563942414312254397099163565102848
dir	dirty
gesticulation	gesticulations
5254063	5254063691285010599912421270508133194975
div	divulged
strai	straits
diz	dizzy
5599921057819137103	5599921057819137103018897920640888397476
2816339049676558789901487477972479202	2816339049676558789901487477972479202502
rhythmica	rhythmically
lulling	lulling
61602962113570056638	6160296211357005663834799033404962387594
27875143202956393295910508349	2787514320295639329591050834968702906069
27971466476760328471332985501945	2797146647676032847133298550194568977275
9520363356199476919379650650168087102507	9520363356199476919379650650168087102507
stray	strayed
883470102552620523123172152540625716367	8834701025526205231231721525406257163677
whippin	whippings
038097691	0380976919326064376087432093856028156428
054133405392200011378630094556	0541334053922000113786300945560688166740
disunio	disunion
14951386227523993893	1495138622752399389387349050826254724177
51378214345336650598328347443536290	5137821434533665059832834744353629031239
423142980778956	4231429807789561705125693005180428747236
2476	2476427395401909403584437251915352134557
browe	browed
excursions	excursions
022877211233456	0228772112334562442102471516394125125895
8256009273977	8256009273977667585642598378587497776669
1327126624750558225	1327126624750558225863492842771835583164
95895828819074900403315934360	9589582881907490040331593436076189609669
23302540	2330254086076115859321603465240763923593
10928867789202700775049515114	1092886778920270077504951511405782565295
442858487069	4428584870694307099756567949198418996425
compani	companionway
mach	machines
heavies	heaviest
7223820497725773	7223820497725773074545629791279061775316
30320082033090289548880	3032008203309028954888085167972584958134
2490	2490933606999809477625379297359703775906
expectati	expectations
848148810833946900016380791	8481488108339469000163807910759607455046
79659198092255505600619	7965919809225550560061971283541270202072
67266429786676876	6726642978667687697789291431128505043098
calking	calking
dla	dla
6048845770177621	6048845770177621831846155679784275410884
company	company
446300550448184991	4463005504481849916996622087746140216157
84538258881126027539	8453825888112602753909548852639708652339
26251509748279877799643730899	2625150974827987779964373089970388867782
relay	relays
62036978497345	6203697849734599020046068865727018658677
03865067	0386506786693396236535556479102508529284
463046	4630467726914552953690154167025838032477
241013908779161651226	2410139087791616512268044148097656189797
661240278758831010	6612402787588310102149528460080480502804
46602190335203981531618935	4660219033520398153161893578708356160330
7841301764553247527073788764	7841301764553247527073788764069366420012
1182195745017	1182195745017010605938433651945862836068
showing	showing
93671164	9367116404777559854812639075047472950126
9669365218674805943569985859699554	9669365218674805943569985859699554089329
56755572945859621	5675557294585962182052650473353712351623
ebony	ebony
2688313289470553891357290706967	2688313289470553891357290706967599556298
100066004	1000660041544868437352208483059495953182
relie	relieving
curta	curtains
relia	reliant
apost	apostrophizing
